tstamp	latitude	longitude	direction	speed	trip_id	trip_id	max	min	max	min	distance
2020-10-13 17:58:35	45.665988	-122.557703	72	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:40	45.666205	-122.556828	70	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:45	45.666422	-122.55595	71	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:50	45.666635	-122.555105	70	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:58:55	45.666847	-122.554247	71	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:59:00	45.66701	-122.553583	71	22.3694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:59:05	45.667107	-122.553193	70	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 17:59:10	45.667147	-122.55303	71	4.47388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:00:40	45.667183	-122.55288	71	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:00:45	45.667298	-122.552517	66	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:00:50	45.667613	-122.55246	7	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:00:55	45.668188	-122.55246	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:01:00	45.668792	-122.552462	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:01:05	45.669155	-122.552465	0	15.65858	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:01:10	45.669287	-122.552467	359	4.47388	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:01:55	45.669342	-122.552472	356	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:00	45.669628	-122.552473	0	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:05	45.670072	-122.552473	0	22.3694	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:10	45.67065	-122.55247	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:15	45.671218	-122.552473	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:20	45.671732	-122.552472	0	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:25	45.672313	-122.552472	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:30	45.672942	-122.55247	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:35	45.673608	-122.55247	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:40	45.674218	-122.552468	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:45	45.67482	-122.552467	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:50	45.675445	-122.552465	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:02:55	45.675988	-122.552467	0	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:00	45.676603	-122.552462	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:05	45.67727	-122.552462	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:10	45.677948	-122.552462	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:15	45.678592	-122.552463	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:20	45.679167	-122.552463	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:25	45.679513	-122.552463	0	15.65858	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:30	45.679945	-122.552463	0	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:35	45.680358	-122.552462	0	20.13246	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:40	45.68075	-122.552462	0	17.89552	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:45	45.681305	-122.552458	0	26.84328	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:50	45.681982	-122.55246	0	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:03:55	45.68276	-122.552462	0	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:00	45.683532	-122.55246	0	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:05	45.684273	-122.552462	0	35.79104	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:10	45.684962	-122.552465	0	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:15	45.685625	-122.552465	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:20	45.6863	-122.552465	0	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:25	45.686985	-122.552465	0	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:30	45.687712	-122.55247	0	35.79104	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:35	45.688398	-122.552495	359	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:40	45.689017	-122.55253	358	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:45	45.689705	-122.55259	357	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:50	45.690412	-122.552648	357	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:04:55	45.691093	-122.55269	358	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:05:00	45.691742	-122.55271	359	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:05:05	45.692293	-122.552715	0	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:05:10	45.692627	-122.552715	0	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:10	45.692777	-122.552713	0	0	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:15	45.693027	-122.552713	0	13.42164	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:20	45.69351	-122.552707	1	24.60634	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:25	45.694155	-122.552702	0	31.31716	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:30	45.694783	-122.552698	0	29.08022	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:35	45.695448	-122.552693	0	33.5541	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:40	45.696228	-122.552687	0	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:45	45.697092	-122.552687	0	42.50186	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:50	45.69793	-122.552682	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:06:55	45.69875	-122.552675	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:00	45.69956	-122.552672	0	38.02798	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:05	45.700375	-122.55267	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
2020-10-13 18:07:10	45.701203	-122.552665	0	40.26492	170245758	170245758	45.866847	45.65599	-122.385078	-122.585437	0.290868360826683
